Year,State,Number of Arrivals,Percentage Increase in Arrivals
2005,New South Wales,2141530,6.45
2005,Northern Territory,55610,-1.38
2005,Queensland,1595750,3.06
2005,South Australia,129970,3.76
2005,Tasmania,32080,-10.75
2005,Victoria,955910,5.56
2005,Western Australia,505770,5.49
2006,Australian Capital Territory,47820,3.47
2006,New South Wales,2133520,-0.38
2006,Northern Territory,57790,3.77
2006,Queensland,1576250,-1.24
2006,South Australia,147440,11.85
2006,Tasmania,37160,13.67
2006,Victoria,988420,3.29
2006,Western Australia,504640,-0.22
2007,Australian Capital Territory,52490,8.9
2007,New South Wales,2180630,2.16
2007,Northern Territory,66460,13.05
2007,Queensland,1561900,-0.92
2007,South Australia,161130,8.5
2007,Tasmania,34590,-7.43
2007,Victoria,1013430,2.47
2007,Western Australia,542660,7.01
2008,Australian Capital Territory,56900,7.75
2008,New South Wales,2170930,-0.45
2008,Northern Territory,77480,14.22
2008,Queensland,1501150,-4.05
2008,South Australia,157860,-2.07
2008,Tasmania,37060,6.66
2008,Victoria,1034940,2.08
2008,Western Australia,538260,-0.82
2009,Australian Capital Territory,58100,2.07
2009,New South Wales,2121780,-2.32
2009,Northern Territory,74530,-3.96
2009,Queensland,1448670,-3.62
2009,South Australia,158500,0.4
2009,Tasmania,38230,3.06
2009,Victoria,1081820,4.33
2009,Western Australia,575720,6.51
2010,Australian Capital Territory,61540,5.59
2010,New South Wales,2235640,5.09
2010,Northern Territory,67700,-10.09
2010,Queensland,1487510,2.61
2010,South Australia,164940,3.9
2010,Tasmania,38220,-0.03
2010,Victoria,1219380,11.28
2010,Western Australia,596570,3.49
2011,Australian Capital Territory,62780,1.98
2011,New South Wales,2224580,-0.5
2011,Northern Territory,68760,1.54
2011,Queensland,1417490,-4.94
2011,South Australia,161760,-1.97
2011,Tasmania,40360,5.3
2011,Victoria,1275880,4.43
2011,Western Australia,620670,3.88
2012,Australian Capital Territory,67680,7.24
2012,New South Wales,2261000,1.61
2012,Northern Territory,82480,16.63
2012,Queensland,1518150,6.63
2012,South Australia,178910,9.59
2012,Tasmania,41260,2.18
2012,Victoria,1358100,6.05
2012,Western Australia,659540,5.89
2013,Australian Capital Territory,67570,-0.16
2013,New South Wales,2437880,7.26
2013,Northern Territory,80880,-1.98
2013,Queensland,1525620,0.49
2013,South Australia,191290,6.47
2013,Tasmania,44060,6.35
2013,Victoria,1442650,5.86
2013,Western Australia,691730,4.65
2014,Australian Capital Territory,69440,2.69
2014,New South Wales,2617600,6.87
2014,Northern Territory,91940,12.03
2014,Queensland,1559830,2.19
2014,South Australia,217720,12.14
2014,Tasmania,46360,4.96
2014,Victoria,1583570,8.9
2014,Western Australia,735710,5.98
2015,Australian Capital Territory,73530,5.56
2015,New South Wales,2784930,6.01
2015,Northern Territory,89050,-3.25
2015,Queensland,1664220,6.27
2015,South Australia,210730,-3.32
2015,Tasmania,52580,11.83
2015,Victoria,1810820,12.55
2015,Western Australia,763840,3.68
2016,Australian Capital Territory,78250,6.03
2016,New South Wales,3119290,10.72
2016,Northern Territory,83530,-6.61
2016,Queensland,1826180,8.87
2016,South Australia,217190,2.97
2016,Tasmania,60520,13.12
2016,Victoria,2040120,11.24
2016,Western Australia,844150,9.51
2017,Australian Capital Territory,93530,16.34
2017,New South Wales,3383060,7.8
2017,Northern Territory,88370,5.48
2017,Queensland,1888150,3.28
2017,South Australia,247210,12.14
2017,Tasmania,76270,20.65
2017,Victoria,2184550,6.61
2017,Western Australia,853760,1.13
2018,Australian Capital Territory,109760,14.79
2018,New South Wales,3473130,2.59
2018,Northern Territory,72320,-22.19
2018,Queensland,2013010,6.2
2018,South Australia,260230,5.0
2018,Tasmania,88580,13.9
2018,Victoria,2378940,8.17
2018,Western Australia,849090,-0.55
2019,Australian Capital Territory,109190,-0.52
2019,New South Wales,3482840,0.28
2019,Northern Territory,76870,5.92
2019,Queensland,2031680,0.92
2019,South Australia,276130,5.76
2019,Tasmania,95060,6.82
2019,Victoria,2509730,5.21
2019,Western Australia,884070,3.96
2020,Australian Capital Territory,21600,-405.51
2020,New South Wales,669310,-420.36
2020,Northern Territory,10890,-605.88
2020,Queensland,350260,-480.05
2020,South Australia,59110,-367.15
2020,Tasmania,24630,-285.95
2020,Victoria,503610,-398.35
2020,Western Australia,188130,-369.93
2021,Australian Capital Territory,3890,-455.27
2021,New South Wales,110820,-503.96
2021,Northern Territory,3410,-219.35
2021,Queensland,47230,-641.6
2021,South Australia,6210,-851.85
2021,Tasmania,4100,-500.73
2021,Victoria,55460,-808.06
2021,Western Australia,15070,-1148.37
2022,Australian Capital Territory,53570,92.74
2022,New South Wales,1311310,91.55
2022,Northern Territory,27980,87.81
2022,Queensland,775900,93.91
2022,South Australia,127490,95.13
2022,Tasmania,41850,90.2
2022,Victoria,974020,94.31
2022,Western Australia,381940,96.05
2023,Australian Capital Territory,93880,42.94
2023,New South Wales,2760620,52.5
2023,Northern Territory,46020,39.2
2023,Queensland,1465570,47.06
2023,South Australia,221960,42.56
2023,Tasmania,72020,41.89
2023,Victoria,1841750,47.11
2023,Western Australia,684930,44.24
2024,Australian Capital Territory,57240,-64.01
2024,New South Wales,1767830,-56.16
2024,Northern Territory,29990,-53.45
2024,Queensland,952150,-53.92
2024,South Australia,132520,-67.49
2024,Tasmania,43680,-64.88
2024,Victoria,1229470,-49.8
2024,Western Australia,450040,-52.19
